period,date,time,ped,cross,headway,speed,spcu,flow,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr
109,"Saturday, June 19, 2021",11:51:00,8,2,0.78,16.0,1.0,76.92307692,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
110,"Saturday, June 19, 2021",11:54:00,5,0,0.1,28.67,8.0,600.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
111,"Saturday, June 19, 2021",11:56:00,8,3,0.15,30.0,2.5,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
112,"Saturday, June 19, 2021",11:58:00,10,0,0.27,22.33,2.5,222.2222222,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
113,"Saturday, June 19, 2021",12:01:00,5,1,0.53,29.0,1.0,113.20754720000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
114,"Saturday, June 19, 2021",12:03:00,11,2,0.52,36.5,2.0,115.38461540000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
115,"Saturday, June 19, 2021",12:05:00,27,1,0.35,21.0,2.5,171.4285714,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
116,"Saturday, June 19, 2021",12:07:00,7,3,0.21,28.0,6.0,285.7142857,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
117,"Saturday, June 19, 2021",12:08:00,11,3,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
118,"Saturday, June 19, 2021",12:10:00,9,2,0.4,31.25,6.0,150.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
119,"Saturday, June 19, 2021",12:12:00,16,1,0.65,34.0,1.0,92.30769231,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
120,"Saturday, June 19, 2021",12:15:00,5,2,0.12,35.0,2.5,500.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
121,"Saturday, June 19, 2021",12:17:00,6,0,0.47,28.5,2.0,127.6595745,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
122,"Saturday, June 19, 2021",12:19:00,2,0,0.29,36.33,3.0,206.8965517,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
123,"Saturday, June 19, 2021",12:21:00,12,4,0.21,33.0,3.0,285.7142857,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
124,"Saturday, June 19, 2021",12:24:00,10,1,0.14,38.5,3.0,428.57142860000005,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
125,"Saturday, June 19, 2021",12:26:00,12,1,0.24,14.33,4.0,250.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
126,"Saturday, June 19, 2021",12:28:00,2,1,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
127,"Saturday, June 19, 2021",12:31:00,17,1,0.38,26.67,4.0,157.8947368,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
128,"Saturday, June 19, 2021",12:33:00,7,0,0.25,24.0,1.0,240.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
129,"Saturday, June 19, 2021",12:35:00,10,1,0.17,32.8,4.5,352.94117650000004,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
130,"Saturday, June 19, 2021",12:38:00,26,4,0.47,20.67,3.0,127.6595745,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
131,"Saturday, June 19, 2021",12:40:00,8,3,0.32,24.0,3.0,187.5,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
132,"Saturday, June 19, 2021",12:43:00,9,1,0.15,20.86,8.0,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
133,"Saturday, June 19, 2021",12:45:00,13,3,0.17,32.25,4.0,352.94117650000004,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
134,"Saturday, June 19, 2021",12:47:00,12,2,0.41,30.33,3.0,146.3414634,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
