period,date,time,ped,cross,headway,speed,spcu,flow,case
127,"Saturday, June 19, 2021",12:31:00,17,1,0.38,26.67,4,157.8947368,covnaf
128,"Saturday, June 19, 2021",12:33:00,7,0,0.25,24,1,240,covnaf
129,"Saturday, June 19, 2021",12:35:00,10,1,0.17,32.8,4.5,352.9411765,covnaf
130,"Saturday, June 19, 2021",12:38:00,26,4,0.47,20.67,3,127.6595745,covnaf
131,"Saturday, June 19, 2021",12:40:00,8,3,0.32,24,3,187.5,covnaf
132,"Saturday, June 19, 2021",12:43:00,9,1,0.15,20.86,8,400,covnaf
133,"Saturday, June 19, 2021",12:45:00,13,3,0.17,32.25,4,352.9411765,covnaf
134,"Saturday, June 19, 2021",12:47:00,12,2,0.41,30.33,3,146.3414634,covnaf
135,"Saturday, June 19, 2021",12:49:00,15,5,1,29,0,60,covnaf
136,"Saturday, June 19, 2021",12:51:00,7,2,0.35,26.33,3,171.4285714,covnaf
137,"Saturday, June 19, 2021",12:54:00,6,2,0.53,33.5,2,113.2075472,covnaf
138,"Saturday, June 19, 2021",12:56:00,7,1,0.43,29.5,3,139.5348837,covnaf
139,"Saturday, June 19, 2021",12:58:00,5,0,0.15,31.22,9,400,covnaf
140,"Saturday, June 19, 2021",13:00:00,4,4,0.31,30.67,4,193.5483871,covnaf
141,"Saturday, June 19, 2021",13:02:00,14,1,0.63,7,1,95.23809524,covnaf
142,"Saturday, June 19, 2021",13:05:00,10,3,0.6,37.5,2,100,covnaf
143,"Saturday, June 19, 2021",13:09:00,12,3,0.19,23,9.5,315.7894737,covnaf
144,"Saturday, June 19, 2021",13:11:00,16,3,0.26,23.75,4,230.7692308,covnaf
145,"Saturday, June 19, 2021",13:13:00,7,1,0.15,25,4.5,400,covnaf
146,"Saturday, June 19, 2021",13:15:00,6,2,0.32,21.33,4,187.5,covnaf
147,"Saturday, June 19, 2021",13:20:00,7,1,0.31,30.33,3.5,193.5483871,covnaf
148,"Saturday, June 19, 2021",13:22:00,9,2,1,29,0,60,covnaf
149,"Saturday, June 19, 2021",13:24:00,11,2,1,29,0,60,covnaf
150,"Saturday, June 19, 2021",13:26:00,10,5,0.3,31.5,2,200,covnaf
151,"Saturday, June 19, 2021",13:28:00,11,0,0.19,33.67,4,315.7894737,covnaf
152,"Saturday, June 19, 2021",13:33:00,6,0,0.35,29,4,171.4285714,covnaf
153,"Saturday, June 19, 2021",13:35:00,9,1,0.2,17,7,300,covnaf
154,"Saturday, June 19, 2021",13:37:00,8,1,0.13,28.86,8,461.5384615,covnaf
155,"Saturday, June 19, 2021",13:39:00,12,2,0.44,22,2,136.3636364,covnaf
156,"Saturday, June 19, 2021",13:42:00,8,1,1,29,0,60,covnaf
157,"Saturday, June 19, 2021",13:46:00,7,1,0.12,29.25,5,500,covnaf
158,"Saturday, June 19, 2021",13:47:00,5,3,0.11,37.25,4,545.4545455,covnaf
159,"Saturday, June 19, 2021",18:30:00,2,0,0.53,22.5,1.5,113.2075472,covnaf
160,"Saturday, June 19, 2021",18:32:00,10,2,0.09,37.5,2,666.6666667,covnaf
161,"Saturday, June 19, 2021",18:34:00,13,3,0.36,36,2.5,166.6666667,covnaf
162,"Saturday, June 19, 2021",18:38:00,12,1,0.28,36,4,214.2857143,covnaf
163,"Saturday, June 19, 2021",18:41:00,12,0,0.34,32.25,4.5,176.4705882,covnaf
164,"Saturday, June 19, 2021",18:43:00,9,1,0.15,42,4,400,covnaf
165,"Saturday, June 19, 2021",18:46:00,7,2,0.56,33.5,2,107.1428571,covnaf
166,"Saturday, June 19, 2021",18:50:00,6,0,1,29,0,60,covnaf
167,"Saturday, June 19, 2021",18:53:00,13,3,1,29,0,60,covnaf
168,"Saturday, June 19, 2021",18:55:00,12,0,0.25,28.8,4.5,240,covnaf
169,"Saturday, June 19, 2021",18:58:00,16,4,0.21,36.5,3.5,285.7142857,covnaf
170,"Saturday, June 19, 2021",19:01:00,15,3,0.12,32.29,6.5,500,covnaf
171,"Saturday, June 19, 2021",19:03:00,13,2,0.63,31,2,95.23809524,covnaf
172,"Saturday, June 19, 2021",19:05:00,15,2,0.39,30.25,3.5,153.8461538,covnaf
173,"Saturday, June 19, 2021",19:08:00,8,3,0.2,29.4,4,300,covnaf
174,"Saturday, June 19, 2021",19:10:00,12,2,0.28,22.5,1.5,214.2857143,covnaf
175,"Saturday, June 19, 2021",19:13:00,13,1,0.39,28,2,153.8461538,covnaf
176,"Saturday, June 19, 2021",19:15:00,16,3,0.97,27,2,61.8556701,covnaf
177,"Saturday, June 19, 2021",19:18:00,14,2,0.35,5,1,171.4285714,covnaf
178,"Saturday, June 19, 2021",19:20:00,8,4,0.48,29,1,125,covnaf
179,"Saturday, June 19, 2021",19:22:00,11,3,0.45,23.5,2,133.3333333,covnaf
180,"Saturday, June 19, 2021",19:25:00,22,3,0.26,28.25,3.5,230.7692308,covnaf
181,"Saturday, June 19, 2021",19:27:00,12,1,0.2,25.14,6.5,300,covnaf
182,"Saturday, June 19, 2021",19:29:00,8,4,0.36,30.5,2,166.6666667,covnaf
183,"Saturday, June 19, 2021",19:32:00,15,1,0.21,30,7,285.7142857,covnaf
184,"Saturday, June 19, 2021",19:35:00,17,3,0.75,23,1,80,covnaf
185,"Saturday, June 19, 2021",19:39:00,22,4,1,29,0,60,covnaf
186,"Saturday, June 19, 2021",19:40:00,12,2,1,29,0,60,covnaf
187,"Saturday, June 19, 2021",19:43:00,10,2,0.21,26,2,285.7142857,covnaf
188,"Saturday, June 19, 2021",19:45:00,5,1,0.25,27.86,9,240,covnaf
189,"Saturday, June 19, 2021",19:47:00,12,3,0.49,35,2,122.4489796,covnaf
