case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
lsho,240,11.16364228,2.222564258,1.16364228,1.116364228,150,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.4,0.666666667,0.384615385
lsho,270,11.6406338,2.699555778,1.6406338,1.16406338,150,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.4,0.666666667,0.357142857
lsho,180,9.764039735,0.822961713,-0.235960265,0.976403974,60,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.25
lsho,300,9.94543722,1.004359198,-0.05456278,0.994543722,90,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.230769231
lsho,240,9.450304,0.509225978,-0.549696,0.9450304,150,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.384615385
lsho,150,10.39151079,1.450432768,0.39151079,1.039151079,210,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.583333333
lsho,150,6.176868217,-2.764209805,-3.823131783,0.617686822,330,120,1,1,1,1,1,0,3,0,3,1,0,0,1,0.363636364,0.666666667,0.6875
lsho,120,8.367343096,-0.573734926,-1.632656904,0.83673431,240,90,1,1,1,1,1,0,3,0,3,1,0,0,1,0.375,0.666666667,0.666666667
lsho,120,10.97897436,2.037896338,0.97897436,1.097897436,90,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.428571429
lsho,120,14.32721014,5.386132118,4.32721014,1.432721014,90,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.428571429
lsho,150,9.145675676,0.204597654,-0.854324324,0.914567568,210,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.285714286,0.666666667,0.583333333
lsho,90,7.967410359,-0.973667663,-2.032589641,0.796741036,210,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.142857143,0.666666667,0.7
lsho,180,9.455926829,0.514848807,-0.544073171,0.945592683,150,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.2,0.666666667,0.454545455
lsho,90,10.59535354,1.654275518,0.59535354,1.059535354,270,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.111111111,0.666666667,0.75
lsho,60,7.407607362,-1.53347066,-2.592392638,0.740760736,270,120,1,1,1,1,1,0,3,0,3,1,0,0,1,0.444444444,0.666666667,0.818181818
